0.5000	0.6865
0.5500	0.7285
0.6000	0.7630
0.6500	0.7954
0.7000	0.8283
0.7500	0.8634
0.8000	0.9022
0.8500	0.9460
0.9000	0.9964
0.9500	1.0548
1.0000	1.1232
1.0500	1.2029
1.1000	1.2944
1.1500	1.3957
1.2000	1.5015
1.2500	1.6045
1.3000	1.6984
1.3500	1.7804
1.4000	1.8506
1.4500	1.9110
1.5000	1.9635
1.5500	2.0100
1.6000	2.0520
1.6500	2.0905
1.7000	2.1264
1.7500	2.1604
1.8000	2.1928
1.8500	2.2242
1.9000	2.2546
1.9500	2.2844
2.0000	2.3137
2.0500	2.3427
2.1000	2.3714
2.1500	2.3999
2.2000	2.4282
2.2500	2.4564
2.3000	2.4846
2.3500	2.5126
2.4000	2.5405
2.4500	2.5684
2.5000	2.5961
