0.5000	0.5104
0.5500	0.5308
0.6000	0.5636
0.6500	0.6230
0.7000	0.7546
0.7500	1.0622
0.8000	1.2775
0.8500	1.3665
0.9000	1.4274
0.9500	1.4811
1.0000	1.5324
1.0500	1.5825
1.1000	1.6316
1.1500	1.6797
1.2000	1.7266
1.2500	1.7724
1.3000	1.8171
1.3500	1.8609
1.4000	1.9042
1.4500	1.9472
1.5000	1.9903
1.5500	2.0336
1.6000	2.0773
1.6500	2.1215
1.7000	2.1661
1.7500	2.2110
1.8000	2.2561
1.8500	2.3009
1.9000	2.3452
1.9500	2.3886
2.0000	2.4306
2.0500	2.4709
2.1000	2.5094
2.1500	2.5456
2.2000	2.5797
2.2500	2.6116
2.3000	2.6412
2.3500	2.6687
2.4000	2.6942
2.4500	2.7178
2.5000	2.7397
