0.5000	0.3863
0.5500	0.3486
0.6000	0.2956
0.6500	0.2291
0.7000	0.1562
0.7500	0.1874
0.8000	0.5007
0.8500	0.7373
0.9000	0.8369
0.9500	0.8877
1.0000	0.9229
1.0500	0.9541
1.1000	0.9853
1.1500	1.0175
1.2000	1.0504
1.2500	1.0826
1.3000	1.1130
1.3500	1.1407
1.4000	1.1654
1.4500	1.1870
1.5000	1.2059
1.5500	1.2229
1.6000	1.2388
1.6500	1.2546
1.7000	1.2716
1.7500	1.2907
1.8000	1.3131
1.8500	1.3395
1.9000	1.3707
1.9500	1.4069
2.0000	1.4480
2.0500	1.4939
2.1000	1.5436
2.1500	1.5965
2.2000	1.6516
2.2500	1.7077
2.3000	1.7641
2.3500	1.8200
2.4000	1.8746
2.4500	1.9275
2.5000	1.9784
