0.5000	1.3170
0.5500	1.3096
0.6000	1.2983
0.6500	1.2834
0.7000	1.2652
0.7500	1.2442
0.8000	1.2208
0.8500	1.1956
0.9000	1.1691
0.9500	1.1421
1.0000	1.1153
1.0500	1.0896
1.1000	1.0661
1.1500	1.0456
1.2000	1.0291
1.2500	1.0170
1.3000	1.0100
1.3500	1.0081
1.4000	1.0110
1.4500	1.0186
1.5000	1.0307
1.5500	1.0470
1.6000	1.0677
1.6500	1.0932
1.7000	1.1239
1.7500	1.1601
1.8000	1.2021
1.8500	1.2497
1.9000	1.3023
1.9500	1.3591
2.0000	1.4187
2.0500	1.4800
2.1000	1.5417
2.1500	1.6027
2.2000	1.6622
2.2500	1.7194
2.3000	1.7745
2.3500	1.8266
2.4000	1.8760
2.4500	1.9226
2.5000	1.9665
